tau,clarabel,ecos,gurobi,mosek,qoco
2.9004304938639915,0.977,0.37,0.103,0.102,1.0
2.9138317048327873,0.977,0.37,0.103,0.102,1.0
2.9272948350428165,0.978,0.37,0.106,0.102,1.0
2.940820170587063,0.979,0.37,0.106,0.102,1.0
2.954407998880381,0.979,0.371,0.106,0.102,1.0
2.9680586086656024,0.979,0.371,0.106,0.102,1.0
2.981772290019672,0.98,0.373,0.106,0.103,1.0
2.9955493343598136,0.98,0.373,0.107,0.103,1.0
3.00939003444972,0.98,0.374,0.107,0.103,1.0
3.0232946844057773,0.981,0.374,0.108,0.103,1.0
3.0372635797033114,0.982,0.374,0.108,0.104,1.0
3.0512970171828697,0.982,0.375,0.109,0.105,1.0
3.0653952950565273,0.982,0.377,0.109,0.106,1.0
3.079558712914226,0.983,0.378,0.109,0.106,1.0
3.0937875717301377,0.983,0.378,0.11,0.106,1.0
3.108082173869064,0.983,0.379,0.112,0.106,1.0
3.1224428230928565,0.984,0.38,0.112,0.108,1.0
3.1368698245668774,0.984,0.381,0.112,0.108,1.0
3.1513634848664784,0.984,0.383,0.114,0.108,1.0
3.1659241119835224,0.984,0.385,0.115,0.11,1.0
3.18055201533292,0.984,0.386,0.117,0.112,1.0
3.195247505759212,0.985,0.389,0.118,0.115,1.0
3.2100108955431725,0.985,0.39,0.119,0.117,1.0
3.2248424984084414,0.985,0.391,0.119,0.119,1.0
3.2397426295281972,0.987,0.394,0.12,0.12,1.0
3.254711605531848,0.987,0.395,0.122,0.12,1.0
3.269749744511766,0.988,0.398,0.122,0.121,1.0
3.2848573660300446,0.988,0.401,0.122,0.123,1.0
3.3000347911252845,0.989,0.405,0.122,0.125,1.0
3.315282342319425,0.99,0.408,0.122,0.125,1.0
3.330600343624589,0.991,0.409,0.122,0.128,1.0
3.345989120549973,0.991,0.41,0.122,0.128,1.0
3.361449000108766,0.992,0.411,0.122,0.129,1.0
3.3769803108250906,0.993,0.413,0.125,0.132,1.0
3.3925833827409937,0.993,0.415,0.125,0.135,1.0
3.408258547423452,0.993,0.416,0.127,0.136,1.0
3.424006137971424,0.993,0.418,0.129,0.136,1.0
3.4398264890229253,0.994,0.421,0.129,0.138,1.0
3.4557199367621387,0.994,0.425,0.13,0.14,1.0
3.4716868189265613,0.994,0.427,0.131,0.144,1.0
3.4877274748141773,0.995,0.428,0.131,0.145,1.0
3.503842245290674,0.996,0.432,0.134,0.146,1.0
3.52003147279668,0.996,0.439,0.136,0.147,1.0
3.536295501355042,0.998,0.441,0.138,0.148,1.0
3.5526346765781414,0.998,0.444,0.138,0.149,1.0
3.5690493456752295,0.999,0.448,0.14,0.15,1.0
3.585539857459816,0.999,0.449,0.141,0.151,1.0
3.6021065623570707,0.999,0.455,0.142,0.154,1.0
3.6187498124112794,1.0,0.457,0.143,0.156,1.0
3.6354699612933197,1.0,0.465,0.145,0.157,1.0
3.6522673643081753,1.0,0.47,0.146,0.158,1.0
3.669142378402493,1.0,0.474,0.15,0.162,1.0
3.686095362172159,1.0,0.48,0.15,0.166,1.0
3.703126675869926,1.0,0.48,0.15,0.168,1.0
3.7202366814130676,1.0,0.482,0.152,0.173,1.0
3.737425742391064,1.0,0.486,0.154,0.175,1.0
3.7546942240733356,1.0,0.493,0.159,0.178,1.0
3.7720424934169983,1.0,0.498,0.162,0.182,1.0
3.7894709190746667,1.0,0.504,0.166,0.186,1.0
3.806979871402286,1.0,0.509,0.167,0.19,1.0
3.824569722466999,1.0,0.513,0.173,0.193,1.0
3.84224084605506,1.0,0.518,0.174,0.2,1.0
3.859993617679768,1.0,0.527,0.174,0.205,1.0
3.877828414589456,1.0,0.536,0.176,0.207,1.0
3.895745615775503,1.0,0.537,0.179,0.208,1.0
3.913745601980384,1.0,0.541,0.184,0.211,1.0
3.9318287557057694,1.0,0.543,0.185,0.215,1.0
3.949995461220644,1.0,0.55,0.191,0.22,1.0
3.968246104569481,1.0,0.555,0.194,0.226,1.0
3.9865810735804406,1.0,0.56,0.194,0.233,1.0
4.005000757873611,1.0,0.569,0.196,0.237,1.0
4.023505548869292,1.0,0.581,0.199,0.239,1.0
4.042095839796307,1.0,0.592,0.204,0.243,1.0
4.060772025700365,1.0,0.6,0.207,0.25,1.0
4.079534503452451,1.0,0.606,0.208,0.257,1.0
4.0983836717572615,1.0,0.609,0.212,0.262,1.0
4.117319931161678,1.0,0.615,0.218,0.264,1.0
4.136343684063275,1.0,0.618,0.221,0.272,1.0
4.155455334718876,1.0,0.62,0.227,0.278,1.0
4.174655289253137,1.0,0.625,0.229,0.282,1.0
4.193943955667186,1.0,0.631,0.232,0.285,1.0
4.213321743847288,1.0,0.636,0.234,0.293,1.0
4.23278906557355,1.0,0.641,0.236,0.3,1.0
4.252346334528682,1.0,0.65,0.239,0.304,1.0
4.271993966306779,1.0,0.658,0.24,0.31,1.0
4.291732378422157,1.0,0.663,0.243,0.313,1.0
4.311561990318228,1.0,0.675,0.245,0.319,1.0
4.3314832233764,1.0,0.682,0.245,0.324,1.0
4.35149650092505,1.0,0.69,0.245,0.331,1.0
4.371602248248505,1.0,0.695,0.247,0.336,1.0
4.391800892596086,1.0,0.705,0.248,0.341,1.0
4.412092863191189,1.0,0.713,0.248,0.345,1.0
4.432478591240397,1.0,0.727,0.249,0.349,1.0
4.452958509942655,1.0,0.735,0.251,0.355,1.0
4.473533054498465,1.0,0.748,0.251,0.364,1.0
4.494202662119142,1.0,0.757,0.252,0.373,1.0
4.5149677720361,1.0,0.767,0.252,0.379,1.0
4.535828825510188,1.0,0.776,0.256,0.383,1.0
4.556786265841064,1.0,0.788,0.259,0.386,1.0
4.577840538376619,1.0,0.807,0.261,0.389,1.0
4.598992090522438,1.0,0.815,0.264,0.395,1.0
4.6202413717513116,1.0,0.825,0.266,0.403,1.0
4.641588833612778,1.0,0.831,0.266,0.407,1.0
4.663034929742731,1.0,0.843,0.266,0.414,1.0
4.684580115873048,1.0,0.85,0.268,0.419,1.0
4.7062248498412815,1.0,0.858,0.269,0.421,1.0
4.727969591600389,1.0,0.865,0.271,0.43,1.0
4.749814803228501,1.0,0.875,0.273,0.434,1.0
4.771760948938746,1.0,0.881,0.275,0.439,1.0
4.79380849508911,1.0,0.888,0.28,0.444,1.0
4.815957910192352,1.0,0.899,0.28,0.447,1.0
4.838209664925956,1.0,0.904,0.285,0.454,1.0
4.860564232142135,1.0,0.912,0.289,0.456,1.0
4.8830220868778795,1.0,0.917,0.294,0.46,1.0
4.905583706365048,1.0,0.922,0.296,0.465,1.0
4.9282495700405144,1.0,0.926,0.3,0.467,1.0
4.95102015955635,1.0,0.929,0.304,0.475,1.0
4.973895958790064,1.0,0.93,0.31,0.478,1.0
4.996877453854884,1.0,0.939,0.317,0.483,1.0
5.019965133110082,1.0,0.943,0.319,0.49,1.0
5.04315948717136,1.0,0.948,0.32,0.498,1.0
5.066461008921268,1.0,0.952,0.322,0.501,1.0
5.089870193519681,1.0,0.957,0.322,0.506,1.0
5.113387538414326,1.0,0.959,0.322,0.511,1.0
5.137013543351341,1.0,0.96,0.323,0.512,1.0
5.160748710385909,1.0,0.963,0.326,0.516,1.0
5.184593543892912,1.0,0.963,0.326,0.519,1.0
5.208548550577661,1.0,0.964,0.328,0.522,1.0
5.2326142394866615,1.0,0.965,0.329,0.527,1.0
