tau,qoco,clarabel,ecos,gurobi,mosek
5.2567911220184194e-05,0.0,0.0,0.0,0.0,0.0
5.354620899273613e-05,0.0,0.0,0.0,0.0,0.0
5.454271305329836e-05,0.0,0.0,0.0,0.0,0.0
5.555776222398878e-05,0.0,0.0,0.0,0.0,0.0
5.6591701632462424e-05,0.0,0.0,0.0,0.0,0.0
5.764488282925873e-05,0.0,0.0,0.0,0.0,0.0
5.8717663907332614e-05,0.0,0.0,0.0,0.0,0.0
5.981040962380944e-05,0.0,0.0,0.0,0.0,0.0
6.0923491524007116e-05,0.0,0.0,0.0,0.0,0.0
6.2057288067765e-05,0.0,0.0,0.0,0.0,0.0
6.321218475812448e-05,0.0,0.0,0.0,0.0,0.0
6.438857427240426e-05,0.0,0.0,0.0,0.0,0.0
6.558685659571436e-05,0.0,0.0,0.0,0.0,0.0
6.680743915695615e-05,0.0,0.0,0.0,0.0,0.0
6.805073696735207e-05,0.0,0.0,0.0,0.0,0.0
6.9317172761554e-05,0.0,0.0,0.0,0.0,0.0
7.06071771413778e-05,0.0,0.0,0.0,0.0,0.0
7.192118872221192e-05,0.0,0.0,0.0,0.0,0.0
7.32596542821523e-05,0.0,0.0,0.0,0.0,0.0
7.462302891391108e-05,0.0,0.0,0.0,0.0,0.0
7.601177617955322e-05,0.0,0.0,0.0,0.0,0.0
7.742636826811277e-05,0.0,0.0,0.0,0.0,0.0
7.886728615614156e-05,0.0,0.0,0.0,0.0,0.0
8.033501977124734e-05,0.0,0.0,0.0,0.0,0.0
8.183006815867389e-05,0.0,0.0,0.0,0.0,0.0
8.335293965098187e-05,0.0,0.0,0.0,0.0,0.0
8.490415204088756e-05,0.0,0.0,0.0,0.0,0.0
8.648423275731727e-05,0.0,0.0,0.0,0.0,0.0
8.809371904473991e-05,0.0,0.0,0.0,0.0,0.0
8.97331581458352e-05,0.0,0.0,0.0,0.0,0.0
9.140310748756223e-05,0.0,0.0,0.0,0.0,0.0
9.310413487069085e-05,0.0,0.0,0.0,0.0,0.0
9.483681866285928e-05,0.0,0.0,0.0,0.0,0.0
9.660174799522646e-05,0.0,0.0,0.0,0.0,0.0
9.839952296278227e-05,0.0,0.0,0.0,0.0,0.0
0.00010023075482838654,0.0,0.0,0.0,0.0,0.0
0.00010209606623060465,0.0,0.0,0.0,0.0,0.0
0.00010399609139541203,0.0,0.0,0.0,0.0,0.0
0.000105931476351837,0.0,0.0,0.0,0.0,0.0
0.00010790287915161836,0.0,0.0,0.0,0.0,0.0
0.00010991097009294972,0.0,0.0,0.0,0.0,0.0
0.00011195643194838783,0.0,0.0,0.0,0.0,0.0
0.00011403996019700331,0.0,0.0,0.0,0.0,0.0
0.00011616226326085019,0.021739130434782608,0.0,0.0,0.0,0.0
0.0001183240627458378,0.021739130434782608,0.0,0.0,0.0,0.0
0.00012052609368708426,0.021739130434782608,0.0,0.0,0.0,0.0
0.00012276910479883593,0.021739130434782608,0.0,0.0,0.0,0.0
0.00012505385872903913,0.043478260869565216,0.0,0.0,0.0,0.0
0.00012738113231864785,0.043478260869565216,0.0,0.0,0.0,0.0
0.00012975171686575867,0.043478260869565216,0.0,0.0,0.0,0.0
0.00013216641839466052,0.043478260869565216,0.0,0.0,0.0,0.0
0.0001346260579298911,0.043478260869565216,0.0,0.0,0.0,0.0
0.00013713147177539455,0.043478260869565216,0.0,0.0,0.0,0.0
0.00013968351179887396,0.043478260869565216,0.0,0.0,0.0,0.0
0.0001422830457214352,0.043478260869565216,0.0,0.0,0.0,0.0
0.00014493095741262166,0.043478260869565216,0.0,0.0,0.0,0.0
0.00014762814719093911,0.043478260869565216,0.0,0.0,0.0,0.0
0.00015037553212997383,0.043478260869565216,0.0,0.0,0.0,0.0
