tau,qoco,qoco_custom,clarabel,ecos,gurobi,mosek
2.209756114795903e-05,0.0,0.140625,0.0,0.0,0.0,0.0
2.2302232979659363e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.2508800520954618e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.2717281330269074e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.2927693128656486e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.314005380130654e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.335438139906477e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.3570694139967276e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.3789010410788956e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.4009348768606518e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.4231727942376007e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.445616683452444e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.4682684522556925e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.491130026067791e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.5142033481427965e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.5374903797335716e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.5609931002584567e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.584713507469564e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.6086536176225506e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.63281546564802e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.6572011053245066e-05,0.0,0.15625,0.0,0.0,0.0,0.0
2.6818126094530128e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.706652070033241e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.731721598441379e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.7570233256095827e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.782559402207126e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.8083319988231698e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.8343433061513092e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.860595535175745e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.8870909173592345e-05,0.0,0.171875,0.0,0.0,0.0,0.0
2.9138317048327887e-05,0.0,0.1875,0.0,0.0,0.0,0.0
2.9408201705870607e-05,0.0,0.1875,0.0,0.0,0.0,0.0
2.9680586086656024e-05,0.0,0.1875,0.0,0.0,0.0,0.0
2.9955493343598162e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.0232946844057763e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.051297017182871e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.079558712914223e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.1080821738690636e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.13686982456688e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.165924111983521e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.1952475057592136e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.224842498408439e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.254711605531848e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.284857366030047e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.315282342319423e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.345989120549975e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.3769803108250876e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.408258547423452e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.4398264890229283e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.4716868189265594e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.5038422452906755e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.536295501355039e-05,0.0,0.1875,0.0,0.0,0.0,0.0
3.56904934567523e-05,0.0,0.203125,0.0,0.0,0.0,0.0
3.602106562357074e-05,0.0,0.203125,0.0,0.0,0.0,0.0
3.6354699612933176e-05,0.0,0.203125,0.0,0.0,0.0,0.0
3.669142378402494e-05,0.0,0.203125,0.0,0.0,0.0,0.0
