tau,clarabel,ecos,gurobi,mosek,qoco,qoco_custom
1.2708787092020586,0.0,0.0,0.0,0.0,0.01,1.0
1.2767507043192656,0.0,0.0,0.0,0.0,0.01,1.0
1.2826498305280605,0.0,0.0,0.0,0.0,0.01,1.0
1.288576213185518,0.0,0.0,0.0,0.0,0.01,1.0
1.2945299782279156,0.0,0.0,0.0,0.0,0.01,1.0
1.3005112521734088,0.0,0.002,0.0,0.0,0.01,1.0
1.306520162124721,0.0,0.002,0.0,0.0,0.01,1.0
1.3125568357718433,0.0,0.002,0.0,0.0,0.01,1.0
1.3186214013947486,0.0,0.002,0.0,0.0,0.01,1.0
1.324713987866117,0.0,0.002,0.0,0.0,0.01,1.0
1.330834724654075,0.0,0.002,0.0,0.0,0.01,1.0
1.3369837418249464,0.0,0.002,0.0,0.0,0.01,1.0
1.343161170046016,0.0,0.002,0.0,0.0,0.01,1.0
1.3493671405883065,0.0,0.002,0.0,0.0,0.01,1.0
1.3556017853293685,0.0,0.002,0.0,0.0,0.01,1.0
1.3618652367560817,0.0,0.002,0.0,0.0,0.012,1.0
1.3681576279674716,0.0,0.002,0.0,0.0,0.012,1.0
1.3744790926775374,0.0,0.002,0.0,0.0,0.012,1.0
1.3808297652180925,0.0,0.002,0.0,0.0,0.012,1.0
1.3872097805416206,0.0,0.002,0.0,0.0,0.012,1.0
1.3936192742241424,0.0,0.002,0.0,0.0,0.012,1.0
1.4000583824680974,0.0,0.002,0.0,0.0,0.014,1.0
1.406527242105237,0.0,0.002,0.0,0.0,0.016,1.0
1.413025990599534,0.0,0.002,0.0,0.0,0.016,1.0
1.4195547660501011,0.0,0.002,0.0,0.0,0.016,1.0
1.4261137071941288,0.0,0.002,0.0,0.0,0.016,1.0
1.4327029534098308,0.0,0.002,0.0,0.0,0.016,1.0
1.4393226447194072,0.0,0.002,0.0,0.0,0.016,1.0
1.4459729217920199,0.0,0.002,0.0,0.0,0.018,1.0
1.4526539259467808,0.0,0.002,0.0,0.0,0.018,1.0
1.4593657991557567,0.0,0.002,0.0,0.0,0.018,1.0
1.4661086840469844,0.0,0.002,0.0,0.0,0.02,1.0
1.4728827239075026,0.0,0.002,0.0,0.0,0.02,1.0
1.4796880626863964,0.0,0.002,0.0,0.0,0.02,1.0
1.4865248449978568,0.0,0.002,0.0,0.0,0.022,1.0
1.4933932161242522,0.0,0.002,0.0,0.0,0.024,1.0
1.500293322019218,0.0,0.002,0.0,0.0,0.024,1.0
1.5072253093107564,0.0,0.002,0.0,0.0,0.026,1.0
1.5141893253043521,0.0,0.002,0.0,0.0,0.03,1.0
1.5211855179861045,0.0,0.002,0.0,0.0,0.032,1.0
1.5282140360258698,0.002,0.002,0.0,0.0,0.032,1.0
1.5352750287804227,0.002,0.002,0.0,0.0,0.032,1.0
1.5423686462966282,0.002,0.002,0.0,0.0,0.032,1.0
1.5494950393146318,0.002,0.002,0.0,0.0,0.032,1.0
1.5566543592710615,0.002,0.002,0.0,0.0,0.032,1.0
1.5638467583022468,0.002,0.002,0.0,0.0,0.032,1.0
1.5710723892474503,0.002,0.002,0.0,0.0,0.032,1.0
1.5783314056521174,0.002,0.002,0.0,0.0,0.034,1.0
1.5856239617711374,0.002,0.002,0.0,0.0,0.036,1.0
1.5929502125721224,0.004,0.002,0.0,0.0,0.038,1.0
1.6003103137387007,0.004,0.002,0.0,0.0,0.044,1.0
1.6077044216738234,0.004,0.002,0.0,0.0,0.044,1.0
1.6151326935030905,0.004,0.002,0.0,0.0,0.044,1.0
1.6225952870780875,0.004,0.002,0.0,0.0,0.046,1.0
1.6300923609797406,0.004,0.002,0.0,0.0,0.046,1.0
1.637624074521688,0.004,0.002,0.0,0.0,0.05,1.0
1.6451905877536623,0.004,0.002,0.0,0.0,0.05,1.0
1.6527920614648948,0.004,0.002,0.0,0.0,0.052,1.0
1.66042865718753,0.004,0.002,0.0,0.0,0.052,1.0
1.6681005372000586,0.004,0.002,0.0,0.0,0.052,1.0
1.6758078645307677,0.004,0.002,0.0,0.0,0.058,1.0
