,Unnamed: 0,size,status,setup_time,solve_time,run_time,obj
153,group_lasso_N_3_i_13,3783,optimal,,0.000601131,0.000601131,3.3159685745249625
154,group_lasso_N_3_i_14,3783,optimal,,0.000504897,0.000504897,3.5315181649611707
155,group_lasso_N_3_i_15,3783,optimal,,0.000708955,0.000708955,3.4898346832895344
156,group_lasso_N_3_i_16,3783,optimal,,0.000550725,0.000550725,3.882217556845572
157,group_lasso_N_3_i_17,3783,optimal,,0.000456011,0.000456011,3.449371796279525
158,group_lasso_N_3_i_18,3783,optimal,,0.000676835,0.000676835,3.609200044589811
159,group_lasso_N_3_i_19,3783,optimal,,0.000498268,0.000498268,4.311700313662588
160,group_lasso_N_4_i_0,6044,optimal,,0.001133362,0.001133362,7.533529505017899
161,group_lasso_N_4_i_1,6044,optimal,,0.000826198,0.000826198,7.167448408258477
162,group_lasso_N_4_i_2,6044,optimal,,0.001259825,0.001259825,6.614620088261765
163,group_lasso_N_4_i_3,6044,optimal,,0.00073547,0.00073547,8.671326448410998
164,group_lasso_N_4_i_4,6044,optimal,,0.000749421,0.000749421,5.791236194060452
165,group_lasso_N_4_i_5,6044,optimal,,0.001096753,0.001096753,9.112860014076569
166,group_lasso_N_4_i_6,6044,optimal,,0.000915817,0.000915817,6.15978268450072
167,group_lasso_N_4_i_7,6044,optimal,,0.001152511,0.001152511,5.256296380807735
168,group_lasso_N_4_i_8,6044,optimal,,0.000827671,0.000827671,6.367000118086868
169,group_lasso_N_4_i_9,6044,optimal,,0.000825713,0.000825713,7.585092554704575
170,group_lasso_N_4_i_10,6044,optimal,,0.000885078,0.000885078,5.092001846495036
171,group_lasso_N_4_i_11,6044,optimal,,0.000825923,0.000825923,6.316697906529941
172,group_lasso_N_4_i_12,6044,optimal,,0.001255083,0.001255083,7.053522055962137
173,group_lasso_N_4_i_13,6044,optimal,,0.000915629,0.000915629,6.1118658321101975
174,group_lasso_N_4_i_14,6044,optimal,,0.001158721,0.001158721,7.882220767970351
175,group_lasso_N_4_i_15,6044,optimal,,0.000837426,0.000837426,5.662718330461344
176,group_lasso_N_4_i_16,6044,optimal,,0.001117131,0.001117131,7.628370158372364
177,group_lasso_N_4_i_17,6044,optimal,,0.000826842,0.000826842,7.943056949229481
178,group_lasso_N_4_i_18,6044,optimal,,0.000847673,0.000847673,7.027480397642464
179,group_lasso_N_4_i_19,6044,optimal,,0.001284123,0.001284123,7.600740956423746
180,group_lasso_N_5_i_0,8805,optimal,,0.001930904,0.001930904,6.776931559012033
181,group_lasso_N_5_i_1,8805,optimal,,0.001330913,0.001330913,6.079791789898473
182,group_lasso_N_5_i_2,8805,optimal,,0.001935224,0.001935224,8.467907149129406
183,group_lasso_N_5_i_3,8805,optimal,,0.001731891,0.001731891,4.58918091294875
184,group_lasso_N_5_i_4,8805,optimal,,0.001267397,0.001267397,6.730925214267742
185,group_lasso_N_5_i_5,8805,optimal,,0.001923931,0.001923931,7.652502130274564
186,group_lasso_N_5_i_6,8805,optimal,,0.001445441,0.001445441,6.460180828914299
187,group_lasso_N_5_i_7,8805,optimal,,0.001423582,0.001423582,6.768700658006753
188,group_lasso_N_5_i_8,8805,optimal,,0.001731744,0.001731744,7.020689447083395
189,group_lasso_N_5_i_9,8805,optimal,,0.001425939,0.001425939,6.0678303637128845
190,group_lasso_N_5_i_10,8805,optimal,,0.001737105,0.001737105,4.950225246088017
191,group_lasso_N_5_i_11,8805,optimal,,0.001265206,0.001265206,7.253937997790254
192,group_lasso_N_5_i_12,8805,optimal,,0.001412013,0.001412013,6.594368341149216
193,group_lasso_N_5_i_13,8805,optimal,,0.00185434,0.00185434,6.772705988968807
194,group_lasso_N_5_i_14,8805,optimal,,0.001459465,0.001459465,5.042440950668635
195,group_lasso_N_5_i_15,8805,optimal,,0.001276724,0.001276724,6.544965577012489
196,group_lasso_N_5_i_16,8805,optimal,,0.001927497,0.001927497,7.014158072736818
197,group_lasso_N_5_i_17,8805,optimal,,0.001267568,0.001267568,6.337117643412111
198,group_lasso_N_5_i_18,8805,optimal,,0.001940272,0.001940272,8.308432182393299
199,group_lasso_N_5_i_19,8805,optimal,,0.001735771,0.001735771,9.03189199872393
200,robust_kalman_filter_N_25_i_0,775,optimal,,0.000227973,0.000227973,766.1805074089256
201,robust_kalman_filter_N_25_i_1,775,optimal,,0.000253057,0.000253057,464.9850472108914
202,robust_kalman_filter_N_25_i_2,775,optimal,,0.000282779,0.000282779,1534.6659771082598
203,robust_kalman_filter_N_25_i_3,775,optimal,,0.00026096,0.00026096,706.216317490451
204,robust_kalman_filter_N_25_i_4,775,optimal,,0.000362853,0.000362853,914.4432204065212
205,robust_kalman_filter_N_25_i_5,775,optimal,,0.000340241,0.000340241,299.9203387840504
206,robust_kalman_filter_N_25_i_6,775,optimal,,0.000364888,0.000364888,1116.2452479847511
207,robust_kalman_filter_N_25_i_7,775,optimal,,0.000350494,0.000350494,1301.0375596511408
208,robust_kalman_filter_N_25_i_8,775,optimal,,0.000351595,0.000351595,1041.8768295402997
