tau,clarabel,ecos,qcos_custom,qcos
1.5423686462966282,0.0,0.0,1.0,0.0
1.5566543592710615,0.0,0.0,1.0,0.0
1.5710723892474503,0.0,0.0,1.0,0.0
1.5856239617711374,0.0,0.0,1.0,0.0
1.6003103137387007,0.0,0.0,1.0,0.0
1.6151326935030905,0.0,0.0,1.0,0.0
1.6300923609797406,0.0,0.0,1.0,0.0
1.6451905877536623,0.0,0.0,1.0,0.0
1.66042865718753,0.0,0.0,1.0,0.0
1.6758078645307677,0.14285714285714285,0.0,1.0,0.0
1.691329517029648,0.14285714285714285,0.0,1.0,0.0
1.7069949340384074,0.14285714285714285,0.0,1.0,0.0
1.722805447131394,0.14285714285714285,0.0,1.0,0.0
1.7387624002162507,0.14285714285714285,0.0,1.0,0.0
1.754867149648151,0.14285714285714285,0.0,1.0,0.0
1.7711210643450879,0.14285714285714285,0.0,1.0,0.0
1.787525525904235,0.14285714285714285,0.0,1.0,0.0
1.8040819287193828,0.14285714285714285,0.0,1.0,0.0
1.8207916800994628,0.14285714285714285,0.0,1.0,0.0
1.8376562003881711,0.14285714285714285,0.0,1.0,0.0
1.8546769230846987,0.2857142857142857,0.0,1.0,0.0
1.8718552949655787,0.2857142857142857,0.0,1.0,0.0
1.8891927762076663,0.2857142857142857,0.0,1.0,0.0
1.9066908405122525,0.2857142857142857,0.0,1.0,0.0
1.924350975230331,0.42857142857142855,0.0,1.0,0.0
1.9421746814890257,0.42857142857142855,0.0,1.0,0.0
1.9601634743191854,0.5714285714285714,0.0,1.0,0.0
1.9783188827841642,0.5714285714285714,0.0,1.0,0.0
1.996642450109794,0.7142857142857143,0.0,1.0,0.0
2.0151357338155576,0.7142857142857143,0.0,1.0,0.0
2.0338003058469813,0.7142857142857143,0.0,1.0,0.0
2.052637752709252,0.8571428571428571,0.0,1.0,0.0
2.071649675602069,0.8571428571428571,0.0,1.0,0.0
2.0908376905557504,0.8571428571428571,0.0,1.0,0.0
2.1102034285685956,0.8571428571428571,0.0,1.0,0.0
2.12974853574552,0.8571428571428571,0.0,1.0,0.0
2.14947467343798,0.8571428571428571,0.0,1.0,0.0
2.1693835183851844,1.0,0.0,1.0,0.0
2.1894767628566214,1.0,0.0,1.0,0.0
