tau,qoco,qoco_custom,clarabel,ecos,gurobi,mosek
7.250373177994646e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.32596542821523e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.402345801771417e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.479522515621829e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.557503872394921e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.636298261282242e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.715914158940838e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.796360130405237e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.877644830008831e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.959777002314978e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.042765483057629e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.126619200091945e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.211347174354735e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.296958520834914e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.383462449554085e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.470868266557403e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.559185374914618e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.648423275731727e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.738591569173066e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.829699955494083e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.921758236084958e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.014776314524917e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.108764197647733e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.20373199661823e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.299689928020025e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.39664831495469e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.494617588152204e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.593608287093147e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.693631061142522e-05,0.0,0.0,0.0,0.0,0.0,0.0
9.794696670695385e-05,0.0,0.015625,0.0,0.0,0.0,0.0
9.896815988334524e-05,0.0,0.015625,0.0,0.0,0.0,0.0
0.0001,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010104259806171097,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010209606623060465,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010316051783820807,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010423606739764012,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010532283061593165,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010642092440647246,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010753046690158912,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010865157746525384,0.0,0.015625,0.0,0.0,0.0,0.0
0.00010978437670592484,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011092898648952228,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011208552995253765,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011325413151528115,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011443491689526705,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011562801312073754,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011683354854432925,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011805165285688056,0.0,0.015625,0.0,0.0,0.0,0.0
0.00011928245710138402,0.0,0.015625,0.0,0.0,0.0,0.0
0.00012052609368708426,0.0,0.015625,0.0,0.0,0.0,0.0
0.00012178269640372162,0.0,0.03125,0.0,0.0,0.0,0.0
0.00012305240043592616,0.0,0.03125,0.0,0.0,0.0,0.0
0.00012433534237775993,0.0,0.03125,0.0,0.0,0.0,0.0
0.00012563166024741215,0.0,0.03125,0.0,0.0,0.0,0.0
