,size,status,setup_time,solve_time,run_time,obj
oscillating_masses_N_116_i_10,19056,optimal,0.0,0.014707759,0.014707759,109.74967731631678
oscillating_masses_N_116_i_11,19056,optimal,0.0,0.01008206,0.01008206,79.57571710889768
oscillating_masses_N_116_i_12,19056,optimal,0.0,0.009819265,0.009819265,136.60509297881714
oscillating_masses_N_116_i_13,19056,optimal,0.0,0.010329396,0.010329396,288.2963426345077
oscillating_masses_N_116_i_14,19056,optimal,0.0,0.012871043,0.012871043,182.9171606076748
oscillating_masses_N_116_i_15,19056,optimal,0.0,0.027938256,0.027938256,394.8817719548073
oscillating_masses_N_116_i_16,19056,optimal,0.0,0.015415558,0.015415558,129.95176021120545
oscillating_masses_N_116_i_17,19056,optimal,0.0,0.014568386,0.014568386,475.14930249325505
oscillating_masses_N_116_i_18,19056,optimal,0.0,0.020170171,0.020170171,231.50795756845292
oscillating_masses_N_116_i_19,19056,optimal,0.0,0.014174176,0.014174176,497.74236130010877
oscillating_masses_N_136_i_0,22336,optimal,0.0,0.016912933,0.016912933,363.8870647706894
oscillating_masses_N_136_i_1,22336,optimal,0.0,0.017780925,0.017780925,457.415908851624
oscillating_masses_N_136_i_2,22336,optimal,0.0,0.019307881,0.019307881,475.43276873679486
oscillating_masses_N_136_i_3,22336,optimal,0.0,0.015921815,0.015921815,246.59165088178133
oscillating_masses_N_136_i_4,22336,optimal,0.0,0.011444305,0.011444305,265.3964884830286
oscillating_masses_N_136_i_5,22336,optimal,0.0,0.011917368,0.011917368,218.984086208143
oscillating_masses_N_136_i_6,22336,optimal,0.0,0.011478667,0.011478667,428.3965821660422
oscillating_masses_N_136_i_7,22336,optimal,0.0,0.011663792,0.011663792,164.0777292178073
oscillating_masses_N_136_i_8,22336,optimal,0.0,0.016381963,0.016381963,230.72003386691975
oscillating_masses_N_136_i_9,22336,optimal,0.0,0.01628334,0.01628334,182.73418117910833
oscillating_masses_N_136_i_10,22336,optimal,0.0,0.017659989,0.017659989,270.3885335501519
oscillating_masses_N_136_i_11,22336,optimal,0.0,0.018441798,0.018441798,118.18571313359529
oscillating_masses_N_136_i_12,22336,optimal,0.0,0.015838991,0.015838991,312.36558378524126
oscillating_masses_N_136_i_13,22336,optimal,0.0,0.016247473,0.016247473,695.7446590926568
oscillating_masses_N_136_i_14,22336,optimal,0.0,0.01534576,0.01534576,477.1373540370213
oscillating_masses_N_136_i_15,22336,optimal,0.0,0.017459387,0.017459387,156.22619744374248
oscillating_masses_N_136_i_16,22336,optimal,0.0,0.014490427,0.014490427,99.54678010137742
oscillating_masses_N_136_i_17,22336,optimal,0.0,0.014296758,0.014296758,121.58081741206679
oscillating_masses_N_136_i_18,22336,optimal,0.0,0.013256399,0.013256399,303.97293272299896
oscillating_masses_N_136_i_19,22336,optimal,0.0,0.023084636,0.023084636,221.45104681415714
oscillating_masses_N_156_i_0,25616,optimal,0.0,0.027907884,0.027907884,476.19500259170735
oscillating_masses_N_156_i_1,25616,optimal,0.0,0.024082162,0.024082162,119.85711506729528
oscillating_masses_N_156_i_2,25616,optimal,0.0,0.029866821,0.029866821,217.58095768727978
oscillating_masses_N_156_i_3,25616,optimal,0.0,0.021955022,0.021955022,182.27325241421335
oscillating_masses_N_156_i_4,25616,optimal,0.0,0.027816088,0.027816088,147.6415419483457
oscillating_masses_N_156_i_5,25616,optimal,0.0,0.01443842,0.01443842,125.47306393913108
oscillating_masses_N_156_i_6,25616,optimal,0.0,0.015058957,0.015058957,176.01448401499695
oscillating_masses_N_156_i_7,25616,optimal,0.0,0.014377848,0.014377848,72.56810079131539
oscillating_masses_N_156_i_8,25616,optimal,0.0,0.023174337,0.023174337,302.6329783765591
oscillating_masses_N_156_i_9,25616,optimal,0.0,0.022402624,0.022402624,376.675292990101
oscillating_masses_N_156_i_10,25616,optimal,0.0,0.025462641,0.025462641,394.7111038062367
oscillating_masses_N_156_i_11,25616,optimal,0.0,0.020437143,0.020437143,60.45436858989649
oscillating_masses_N_156_i_12,25616,optimal,0.0,0.017628269,0.017628269,341.43390460083845
oscillating_masses_N_156_i_13,25616,optimal,0.0,0.0183869,0.0183869,264.6668386744246
oscillating_masses_N_156_i_14,25616,optimal,0.0,0.019601623,0.019601623,152.02484368801174
oscillating_masses_N_156_i_15,25616,optimal,0.0,0.012903797,0.012903797,164.73065606905166
oscillating_masses_N_156_i_16,25616,optimal,0.0,0.014660726,0.014660726,86.80226492375712
oscillating_masses_N_156_i_17,25616,optimal,0.0,0.013131259,0.013131259,305.1803880628217
oscillating_masses_N_156_i_18,25616,optimal,0.0,0.017476574,0.017476574,412.9546701197028
oscillating_masses_N_156_i_19,25616,optimal,0.0,0.029533542,0.029533542,216.13363310791286
